"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","428","","CreateOrdersTest","","CreateOrdersTest","","checkCreateOrdersNoAuthResponseBodyTest[без ингредиентов]",""
"passed","","","2068","","UpdateUserTest","","UpdateUserTest","","checkUpdateUserNoAuthResponseBodyTest",""
"passed","","","2387","","CreateOrdersTest","","CreateOrdersTest","","checkCreateOrdersResponseBodyTest[с ингредиентами]",""
"passed","","","394","","CreateOrdersTest","","CreateOrdersTest","","checkCreateOrdersNoAuthResponseBodyTest[с неверным хешем ингредиентов]",""
"passed","","","2758","","GetOrdersTest","","GetOrdersTest","","checkGetOrdersResponseBodyTest",""
"passed","","","509","","CreateUserTest","","CreateUserTest","","checkCreateUserResponseBodyTest",""
"passed","","","2713","","GetOrdersTest","","GetOrdersTest","","checkGetOrdersNoAuthResponseBodyTest",""
"passed","","","988","","CreateUserTest","","CreateUserTest","","checkCreateUserAlreadyRegisteredResponseBodyTest",""
"passed","","","1574","","CreateOrdersTest","","CreateOrdersTest","","checkCreateOrdersResponseBodyTest[с неверным хешем ингредиентов]",""
"passed","","","581","","CreateUserTest","","CreateUserTest","","checkCreateUserWithoutFieldResponseBodyTest",""
"passed","","","2023","","UpdateUserTest","","UpdateUserTest","","checkUpdateUserResponseBodyTest",""
"passed","","","1164","","LoginUserTest","","LoginUserTest","","checkLoginUserResponseBodyTest",""
"passed","","","8354","","LoginUserTest","","LoginUserTest","","checkLoginUserNegativeResponseBodyTest",""
"passed","","","462","","CreateOrdersTest","","CreateOrdersTest","","checkCreateOrdersNoAuthResponseBodyTest[с ингредиентами]",""
"passed","","","1471","","CreateOrdersTest","","CreateOrdersTest","","checkCreateOrdersResponseBodyTest[без ингредиентов]",""
