"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","489","","ordersTest","","ordersTest","","checkOrdersResponseBodyTest[ТестЦветДата: [GREY]]",""
"passed","","","995","","courierTest","","courierTest","","checkCourierDoubleResponseBodyTest",""
"passed","","","456","","ordersTest","","ordersTest","","checkOrdersResponseBodyTest[ТестЦветДата: [BLACK]]",""
"failed","","","1532","","courierLoginTest","","courierLoginTest","","checkCourierLoginResponseBodyTest",""
"passed","","","1555","","courierTest","","courierTest","","checkCourierResponseBodyTest",""
"passed","","","476","","ordersTest","","ordersTest","","checkOrdersResponseBodyTest[ТестЦветДата: []]",""
"passed","","","473","","courierTest","","courierTest","","checkCourierResponseWithoutFieldBodyTest",""
"passed","","","501","","ordersTest","","ordersTest","","checkOrdersResponseBodyTest[ТестЦветДата: [BLACK, GREY]]",""
"passed","","","2301","","courierLoginTest","","courierLoginTest","","checkCourierLoginBadPasswordResponseBodyTest",""
"passed","","","7855","","ordersCourierIdTest","","ordersCourierIdTest","","checkOrdersResponseBodyTest",""
